tb_latitude,tb_longitude,victim_role,point,collision_datetime,accident_year,number_killed,number_injured,primary_rd,secondary_rd
37.7792937027,-122.40880899399998,Bicyclist,POINT (-122.408808994 37.779293703),09/05/2019 12:13:00 PM,2019,0.0,1,NATOMA ST,RUSS ST
37.784866245906535,-122.41278212820752,Bicyclist,POINT (-122.412782128 37.784866246),08/19/2022 08:25:00 PM,2022,0.0,1,ELLIS ST,JONES ST
37.777919295599986,-122.4298492,Bicyclist,POINT (-122.4298492 37.777919296),04/03/2018 12:15:00 PM,2018,0.0,1,FULTON ST,WEBSTER ST
37.723809324399994,-122.43868400799995,Bicyclist,POINT (-122.438684008 37.723809324),01/10/2018 11:41:00 AM,2018,0.0,1,SANTA YNEZ AVE,CAYUGA AVE
37.74089702444805,-122.41861837625471,Bicyclist,POINT (-122.418618376 37.740897024),12/09/2021 08:30:00 AM,2021,0.0,1,EUGENIA AVE,ELSIE ST
37.7614271333,-122.426076502,Bicyclist,POINT (-122.426076502 37.761427133),08/17/2019 10:52:00 PM,2019,0.0,1,18TH ST,DOLORES ST
37.764309984899995,-122.410363749,Bicyclist,POINT (-122.410363749 37.764309985),08/23/2021 08:48:00 AM,2021,0.0,1,BRYANT ST,17TH ST
37.75303928539999,-122.500033567,Bicyclist,POINT (-122.500033567 37.753039285),09/19/2021 08:01:00 PM,2021,0.0,1,41ST AVE,NORIEGA ST
37.7717764872,-122.46204713,Bicyclist,POINT (-122.46204713 37.771776487),09/30/2020 05:57:00 PM,2020,0.0,2,JOHN F KENNEDY DR,CONSERVATORY DR WEST
37.769906696699984,-122.421497156,Bicyclist,POINT (-122.421497156 37.769906697),04/10/2019 04:55:00 PM,2019,0.0,1,DUBOCE AVE,WOODWARD ST
37.77049587910001,-122.479895427,Bicyclist,POINT (-122.479895427 37.770495879),07/19/2019 11:04:00 AM,2019,0.0,1,JOHN F KENNEDY DR,TRANSVERSE DR
