Voting Precinct,Polling Place Name,Polling Place Address,Polling Place Entrance Instructions,Highest Slope Along Path of Travel,ADA Accessible?,Zip Code,Full Address,Latitude,Longitude,VRA § 203: Chinese,VRA § 203: Spanish,CAEC § 14201: Burmese,CAEC § 14201: Japanese,CAEC § 14201: Korean,CAEC § 14201: Thai,CAEC § 14201: Vietnamese,SF Language Access: Filipino
Pct 7526,Arnet Watson Apartments - Lobby,650 Eddy St,Btw Larkin & Polk,1.1% Slope,Yes,94109-7955,650 Eddy St 94109-7955 ,"37.7833046","-122.4184886","1","0","0","0","0","0","1","0"
Pct 7527,Ellis Gardens - Social Room,666 Ellis St,Btw Larkin & Hyde,1.0% Slope - Access Via Elevator,Yes,"94109",666 Ellis St 94109 ,"37.784588","-122.417239","1","0","0","0","0","1","1","0"
Pct 7528,Cadillac Hotel - Lobby,380 Eddy St,Btw Jones & Leavenworth,1.1% Slope,Yes,"94102",380 Eddy St 94102 ,"37.783947","-122.4139419","1","0","0","0","0","0","1","0"
Pct 7529,Faithful Fools,234 Hyde St,Btw Eddy & Turk,0.1% Slope,Yes,"94102",234 Hyde St 94102 ,"37.7830581","-122.4155217","1","1","0","0","0","0","1","0"
Pct 7531,Hampton Court,378 Golden Gate Ave,Between Hyde & Larkin,5.5% Slope,Yes,"94102",378 Golden Gate Ave 94102 ,"37.7818296","-122.4168057","1","0","0","0","0","0","1","0"
Pct 7532,Civic Center Residence - Front Lobby,44 Mc Allister St,Btw Jones & Leavenworth,5.8% Slope,Yes,94102-3895,44 Mc Allister St 94102-3895 ,"37.7812485","-122.4127915","1","0","0","0","0","0","1","0"
Pct 7533,Glide Memorial Church - 2nd Floor Sanctuary,330 Ellis St,Btw Taylor & Jones,2.0% Slope - Access Via Elevator,Yes,"94102",330 Ellis St 94102 ,"37.785137","-122.4116548","1","0","0","0","0","0","1","0"
Pct 7534,Boeddeker Park & Clubhouse - Meeting Room,246 Eddy St,Btw Jones & Taylor,8.3% Slope - Ramped Access,Yes,"94102",246 Eddy St 94102 ,"37.784314","-122.4118402","1","0","0","0","0","0","1","0"
Pct 7601,N F X Office - Front Lobby,34 Page St,Btw Franklin & Gough,0.9% Slope,Yes,"94102",34 Page St 94102 ,"37.7743646","-122.4214481","0","0","0","0","0","0","0","0"
Pct 7602,Human Services Agency - Born Auditorium,170 Otis St,Btw Duboce & Mc Coppin,5.5% Slope,Yes,"94103",170 Otis St 94103 ,"37.7704506","-122.4211539","1","0","0","0","0","0","0","0"
Pct 7603,Fox Plaza - Fitness Center,1390 Market St,Btw Polk & Larkin,7.1% Slope - Ramped Access,Yes,"94102",1390 Market St 94102 ,"37.7775431","-122.4171289","0","0","0","0","0","0","0","0"
Pct 7604,S F Department Of Public Works - Forum Gallery,49 S Van Ness Ave,Btw Market & Mission,3.9% Slope,Yes,"94103",49 S Van Ness Ave 94103 ,"37.7742557","-122.4187757","1","0","0","0","0","0","0","0"
Pct 7605,The Arc San Francisco - Gallery 1,1500 Howard St,Btw Lafayette & 11th St,6.3% Slope,Yes,"94103",1500 Howard St 94103 ,"37.7729307","-122.4155889","0","0","0","0","0","0","0","0"
Pct 7606,Hostwell Warehouse,758 Natoma St,Btw 8th & 9th Sts,8.3% Slope,Yes,"94103",758 Natoma St 94103 ,"37.7760009","-122.4132118","1","0","0","0","0","0","0","0"
Pct 7607,Tenderloin Neighborhood Develop - Lobby,1346 Folsom St,Btw 9th St & Dore,2.3% Slope,Yes,94103-3819,1346 Folsom St 94103-3819 ,"37.773558","-122.412275","0","0","0","0","0","0","0","0"
Pct 7608,Lighthouse For The Blind - 10th Floor - Rm 1020 B,1155 Market St,Btw 7th & 8th Sts,2.5% Slope - Access Via Elevator,Yes,"94103",1155 Market St 94103 ,"37.7795596","-122.4135326","0","0","0","0","0","0","0","0"
Pct 7609,West Bay Pilipino Multi Service Center,175 7th St,Btw Natoma & Howard,2.4% Slope,Yes,94103-2835,175 7th St 94103-2835 ,"37.7783802","-122.4096813","1","0","0","0","0","0","0","0"
Pct 7611,St Michael Ukrainian Orthodox Church - Main Hallway,345 7th St,Enter On Cleveland Btw 7th St & Sherman,3.7% Slope,Yes,"94103",345 7th St 94103 ,"37.7763453","-122.4068843","0","0","0","0","0","0","0","0"
Pct 7612,S O M Arts Cultural Center,934 Brannan St,Btw 8th And 9th Sts,8.1% Slope - Ramped Access,Yes,"94103",934 Brannan St 94103 ,"37.770864","-122.4062721","0","0","0","0","0","0","0","0"
Pct 7613,Firehouse #29 - Left Bay,299 Vermont St,Enter On Corner Of Vermont At 16th St,5.2% Slope,Yes,"94103",299 Vermont St 94103 ,"37.7661867","-122.4043841","1","0","0","0","0","0","0","0"
Pct 7614,1066 Mission St - Senior Common Room,1066 Mission St,Btw 6th St & 7th St,1.4% Slope,Yes,"94103",1066 Mission St 94103 ,"37.7802697","-122.4100075","0","0","0","0","0","0","0","0"
Pct 7615,Mercy Housing - Lobby,1028 Howard St,Btw Russ & 6th St,0.8% Slope,Yes,94103-2865,1028 Howard St 94103-2865 ,"37.7793674","-122.4080126","1","0","0","0","0","0","0","0"
Pct 7616,Bessie Carmichael School - Room 121,375 7th St,Btw Harrison & Cleveland,3.9% Slope,Yes,"94103",375 7th St 94103 ,"37.7762053","-122.4065524","0","0","0","0","0","0","0","0"
Pct 7617,Hoogasian Flowers - Display Area,615 7th St,Btw Townsend & Brannan,2.8% Slope,Yes,94103-4910,615 7th St 94103-4910 ,"37.7729741","-122.402566","0","0","0","0","0","0","0","0"
Pct 7618,Crescent Cove / Avanath - Community Room,420 Berry St,Btw Mission Bay & King,8.2% Slope - Ramped Access,Yes,"94158",420 Berry St 94158 ,"37.7716988","-122.3996896","1","0","0","0","0","0","0","0"
Pct 7619,Mission Creek Senior - Community Room,225 Berry St,Btw 4th & 5th Sts,3.5% Slope,Yes,"94158",225 Berry St 94158 ,"37.7750855","-122.3935222","1","0","0","0","0","0","0","0"
Pct 7621,Mission Creek Park Pavilion,290 Channel St,Btw Corinne Woods & 4th St,3.3% Slope,Yes,"94158",290 Channel St 94158 ,"37.7731399","-122.3937111","1","0","0","0","0","0","0","0"
Pct 7622,U C S F Housing - Comm Room,1505 4th St,Enter At Nelson Rising Lane Btw 3rd & 4th Sts,5.0% Slope,Yes,94158-2268,1505 4th St 94158-2268 ,"37.769334","-122.390906","0","0","0","0","0","0","0","0"
Pct 7623,The Rose Hotel - Community Room,125 6th St,Btw Minna & Mission,1.2% Slope,Yes,"94103",125 6th St 94103 ,"37.7808133","-122.4080364","0","0","0","0","0","0","0","1"
Pct 7624,Firehouse #1 - Center Bay,935 Folsom St,Btw 5th St & Falmouth,1.5% Slope,Yes,"94107",935 Folsom St 94107 ,"37.7794358","-122.4041028","1","0","0","0","0","0","0","0"
Pct 7625,Clementina Towers - Community Room,320 Clementina St,Btw Gallagher & 4th St,4.8% Slope,Yes,"94103",320 Clementina St 94103 ,"37.7822478","-122.4026162","1","0","0","0","0","0","0","1"
Pct 7626,Salvation Army Silvercrest Residence - Lobby,133 Shipley St,Btw 4th & 5th Sts,4.9% Slope,Yes,"94107",133 Shipley St 94107 ,"37.7807681","-122.4011537","1","0","0","0","0","0","0","0"
Pct 7627,Firehouse #8 - Chief's Bay,36 Bluxome St,Btw 4th & 5th Sts,5.3% Slope,Yes,"94107",36 Bluxome St 94107 ,"37.7772832","-122.3967827","0","0","0","0","0","0","0","0"
Pct 7628,Rich Sorro Commons - Lobby,225 King St,Btw 3rd & 4th Sts,0.5% Slope,Yes,"94107",225 King St 94107 ,"37.7771199","-122.3924748","0","1","0","0","0","0","0","0"
Pct 7629,Studio At Verde - 3rd Floor Workspace,365 Toni Stone Xing,Btw Dr. Maya Angelou Lane & Bridgeview Way,1.4% Slope - Access Via Elevator,Yes,"94158",365 Toni Stone Xing 94158 ,"37.7752527","-122.3885505","1","0","0","0","0","0","0","0"
Pct 7631,Museum Of Modern Art - Phyllis Wattis Theater,151 3rd St,Btw Minna And Howard Sts,0.8% Slope,Yes,"94103",151 3rd St 94103 ,"37.7858686","-122.400667","0","0","0","0","0","0","0","0"
Pct 7632,Mendelsohn House - Activities Room,747 Folsom St,Btw Mabini & 3rd Sts,1.2% Slope,Yes,"94107",747 Folsom St 94107 ,"37.7827084","-122.400073","1","0","0","0","0","0","0","0"
Pct 7633,"Multistudio, Inc",156 South Park,Btw 3rd St & Jack London Alley,1.8% Slope,Yes,"94107",156 South Park 94107 ,"37.7813057","-122.3947435","0","0","0","0","0","0","0","0"
Pct 7634,S F F D Headquarters,698 2nd St,Corner Of 2nd & Townsend,8.3% Slope - Ramped Access,Yes,94107-2015,698 2nd St 94107-2015 ,"37.7805142","-122.3911965","0","0","0","0","0","0","0","0"
Pct 7635,Steamboat Point Apartments - Community Room,10 King St,Btw 2nd & Townsend,2.9% Slope,Yes,"94107",10 King St 94107 ,"37.7815514","-122.38875","1","0","0","0","0","0","0","0"
Pct 7636 MB,Precinct does not have an assigned polling place as authorized under CAEC § 3005,,,,,,  ,,,,,,,,,,
Pct 7637,The Commonwealth Club,115 Steuart St,Btw Mission & Howard,0.8% Slope,Yes,"94105",115 Steuart St 94105 ,"37.7930947","-122.3928127","1","0","0","0","0","0","0","0"
Pct 7638,Natalie Gubb Commons - Community Room,255 Fremont St,Btw Folsom & Howard,1.5% Slope,Yes,"94105",255 Fremont St 94105 ,"37.7886871","-122.3941216","1","0","0","0","0","0","0","0"
Pct 7639,Rene Cazenave Apartments - Program Rm,25 Essex St,Btw Folsom & Harrison,0.4% Slope,Yes,"94105",25 Essex St 94105 ,"37.7864889","-122.3951353","0","0","0","0","0","0","0","0"
Pct 7641,Rincon Green Apartments - Lobby,333 Harrison St,Btw Main & Fremont,6.2% Slope,Yes,"94105",333 Harrison St 94105 ,"37.7862909","-122.3914178","0","0","0","0","0","0","0","0"
Pct 7642,Metropolitan Transportation Commission - Temazcal Rm 102,375 Beale St,Btw Harrison & Folsom,1.6% Slope,Yes,"94105",375 Beale St 94105 ,"37.7879489","-122.3915356","0","0","0","0","0","0","0","0"
Pct 7643,The Infinity,301 Main St,Btw Folsom & Harrison,4.2% Slope,Yes,"94105",301 Main St 94105 ,"37.7895974","-122.3911965","0","0","0","0","0","0","0","0"
Pct 7644,Delancey Street - Store Space,600 The Embarcadero,Btw Brannan & Townsend,4.2% Slope,Yes,"94107",600 The Embarcadero 94107 ,"37.7843081","-122.3885411","0","0","0","0","0","0","0","0"
Pct 7645,Ship Shape Community Center,850 Avenue I,Btw 9th & 10th Sts,7.7% Slope,Yes,"94130",850 Avenue I 94130 ,"37.8275228","-122.3688708","0","0","0","0","0","0","0","0"
Pct 7701,Garage,99 Saint Germain Ave,Btw Mountain Spring & Palo Alto,1.6% Slope,Yes,"94114",99 Saint Germain Ave 94114 ,"37.7572889","-122.450172","0","0","0","0","0","0","1","0"
Pct 7702,Firehouse #20 - Left Bay,285 Olympia Way,Corner Of Clarendon & Olympia,1.5% Slope,Yes,"94131",285 Olympia Way 94131 ,"37.7511679","-122.4562017","0","0","0","0","0","0","1","0"
Pct 7703,Forest Hill Christian Church - Lobby,250 Laguna Honda Blvd,Btw Plaza & Clarendon,8.3% Slope - Ramped Access,Yes,94116-1409,250 Laguna Honda Blvd 94116-1409 ,"37.750066","-122.4612501","0","0","0","0","0","0","0","0"
Pct 7704,Herbert Hoover Middle School - Auditorium Lobby,2290 14th Ave,Enter 14th Ave At Santiago,8.3% Slope - Access Via Elevator,Yes,"94116",2290 14th Ave 94116 ,"37.7460185","-122.469424","0","0","0","0","0","0","0","0"
Pct 7705,Covenant Presbyterian Church - Portalhurst Hall,321 Taraval St,Btw Funston & 14th Ave,4.3% Slope,Yes,"94116",321 Taraval St 94116 ,"37.7430977","-122.4695244","1","0","0","0","0","0","0","0"
Pct 7706,Garage,261 Wawona St,Btw 14th Ave And Vicente,6.2% Slope,Yes,"94127",261 Wawona St 94127 ,"37.7389504","-122.4688718","0","0","0","0","0","0","0","0"
Pct 7707,Garage,44 Vasquez Ave,Btw Hernandez & Laguna Honda,5.6% Slope,Yes,"94127",44 Vasquez Ave 94127 ,"37.7459925","-122.4587284","0","0","0","0","0","0","0","0"
Pct 7708,Commodore Sloat Elementary School - Lobby,50 Darien Way,Btw Junipero Serra & San Fernando,5.7% Slope - Ramped Access,Yes,"94127",50 Darien Way 94127 ,"37.7316529","-122.4711882","1","0","0","0","0","0","0","0"
Pct 7709,Firehouse #39 - Left Bay,1091 Portola Dr,Marne & Rex,6.5% Slope,Yes,"94127",1091 Portola Dr 94127 ,"37.7400312","-122.4586575","0","0","0","0","0","0","0","0"
Pct 7711,Miraloma Elementary School - Gym,175 Omar Way,Btw Myra & Rockdale,5.0% Slope,Yes,"94127",175 Omar Way 94127 ,"37.738836","-122.4502182","0","0","0","0","0","0","0","0"
Pct 7712,Aptos Middle School - Room 231,105 Aptos Ave,Enter On Upland At San Aleso,3.8% Slope,Yes,"94127",105 Aptos Ave 94127 ,"37.7297669","-122.4658285","1","0","0","0","0","0","0","0"
Pct 7713,Garage,19 Maywood Dr,Btw Yerba Buena & Ravenwood,4.1% Slope,Yes,"94127",19 Maywood Dr 94127 ,"37.7353999","-122.4615099","0","0","0","0","0","0","0","0"
Pct 7714,Garage,111 Robinhood Dr,Btw Lansdale & Lansdale,4.3% Slope,Yes,"94127",111 Robinhood Dr 94127 ,"37.7370277","-122.4568094","0","0","0","0","0","0","0","0"
Pct 7715,Garage,390 Melrose Ave,Corner Of Gennessee & Melrose,6.0% Slope,Yes,"94127",390 Melrose Ave 94127 ,"37.733931","-122.4512134","0","0","0","0","0","0","0","0"
Pct 7716,Garage,366 Marietta Dr,Btw Arroyo Way & Teresita Blvd,5.4% Slope,Yes,"94127",366 Marietta Dr 94127 ,"37.7391838","-122.4442443","0","0","0","0","0","0","0","0"
Pct 7717,Garage,168 Dorado Ter,Btw Dorado Ter & Dead End,7.8% Slope,Yes,"94112",168 Dorado Ter 94112 ,"37.7269684","-122.4619398","1","0","0","0","0","0","0","0"
Pct 7718,Ingleside Branch Library - Program Room,1298 Ocean Ave,Btw Plymouth And Brighton,3.0% Slope,Yes,94112-1831,1298 Ocean Ave 94112-1831 ,"37.7242001","-122.456279","1","0","0","0","0","0","0","0"
Pct 7719,Garage,295 Valdez Ave,Btw Mangels & Monterey,8.3% Slope,Yes,"94127",295 Valdez Ave 94127 ,"37.7324903","-122.4562887","0","0","0","0","0","0","0","0"
